num_vertices,density,random_seed,c_optimal,neurosa_res,iter2solution,t2solution
10,0.01,0,-10,-10.0,182,2.9971
10,0.01,1,-10,-10.0,182,1.9988
10,0.01,2,-10,-10.0,2,0.0
10,0.01,3,-10,-10.0,50,0.0
10,0.01,4,-10,-10.0,34,0.0
10,0.05,0,-8,-8.0,238,1.995
10,0.05,1,-8,-8.0,2,0.0
10,0.05,2,-9,-9.0,247,1.9982
10,0.05,3,-8,-8.0,12,0.0
10,0.05,4,-8,-8.0,38,1.0007
10,0.1,0,-7,-7.0,183,1.0003
10,0.1,1,-7,-7.0,345,2.0
10,0.1,2,-7,-7.0,97,0.0
10,0.1,3,-8,-8.0,2,0.0
10,0.1,4,-7,-7.0,51,0.0
10,0.25,0,-6,-6.0,664,5.0004
10,0.25,1,-6,-6.0,1704,12.0001
10,0.25,2,-5,-5.0,461,3.001
10,0.25,3,-6,-6.0,184,1.0001
10,0.25,4,-5,-5.0,281,1.0001
